date,product,orders,buyouts,price,cpc,drr,ctr,cr,clicks,cart_adds
2026-04-10,Кукла с аксессуарами,47,38,1299,18.22,72.4,1.14,0.9,6815,99
2026-04-10,Набор для творчества,32,27,899,13.98,66.9,0.94,0.73,4403,66
2026-04-10,Мяч футбольный,48,40,499,9.62,55.3,1.23,0.83,7029,107
2026-04-10,Книга детская,22,17,299,5.77,39.3,0.77,0.54,2941,34
2026-04-10,Набор кухонный,31,26,1599,19.3,78.4,0.88,0.81,3758,43
2026-04-10,Самокат складной,16,13,3999,29.55,91.1,0.66,0.47,2788,44
2026-04-11,Игрушка мягкая мишка,60,50,789,16.0,68.6,0.73,0.83,8485,113
2026-04-11,Конструктор LEGO City,41,38,2499,20.57,84.6,1.14,0.91,4105,48
2026-04-11,Пазл 1000 деталей,25,23,599,12.48,62.4,0.89,0.79,3855,52
2026-04-11,Машинка инерционная,82,75,349,8.47,45.9,1.39,1.09,11584,123
2026-04-11,Кукла с аксессуарами,60,55,1299,18.94,76.9,1.04,0.88,4898,87
2026-04-11,Набор для творчества,34,28,899,12.89,65.7,0.83,0.82,3927,60
2026-04-11,Мяч футбольный,60,51,499,10.18,55.4,0.99,0.77,6335,105
2026-04-11,Книга детская,25,23,299,5.81,38.9,0.69,0.56,2456,36
2026-04-11,Набор кухонный,30,24,1599,18.38,84.0,0.94,0.72,3705,63
2026-04-11,Самокат складной,23,21,3999,26.14,89.7,0.67,0.57,2732,46
2026-04-12,Игрушка мягкая мишка,57,46,789,16.79,70.6,0.89,0.69,8006,154
2026-04-12,Конструктор LEGO City,38,32,2499,22.74,87.3,1.15,0.92,4096,52
2026-04-12,Пазл 1000 деталей,34,29,599,11.93,62.2,0.82,0.79,4155,80
2026-04-12,Машинка инерционная,74,59,349,7.44,44.7,1.72,1.19,11165,174
2026-04-12,Кукла с аксессуарами,45,41,1299,19.01,78.7,1.1,0.91,6963,121
2026-04-12,Набор для творчества,45,37,899,15.29,66.1,0.84,0.88,4784,87
2026-04-12,Мяч футбольный,67,62,499,10.83,53.0,1.16,0.87,7528,149
2026-04-12,Книга детская,28,23,299,5.5,41.8,0.71,0.55,3258,41
2026-04-12,Набор кухонный,28,26,1599,18.5,83.0,0.83,0.82,3269,58
2026-04-12,Самокат складной,21,17,3999,30.36,89.4,0.6,0.47,2897,39
2026-04-13,Игрушка мягкая мишка,75,64,789,17.36,71.4,0.83,0.82,9554,128
2026-04-13,Конструктор LEGO City,49,40,2499,21.23,82.2,1.15,1.01,4225,52
2026-04-13,Пазл 1000 деталей,31,24,599,12.04,58.3,0.9,0.69,3854,67
2026-04-13,Машинка инерционная,85,75,349,8.35,44.0,1.36,1.12,12573,179
2026-04-13,Кукла с аксессуарами,54,43,1299,18.87,77.0,1.05,0.88,6834,77
2026-04-13,Набор для творчества,38,31,899,13.31,62.1,1.05,0.88,5191,75
2026-04-13,Мяч футбольный,56,52,499,9.19,55.3,1.02,1.01,7227,72
2026-04-13,Книга детская,28,25,299,6.29,41.0,0.73,0.58,2758,30
2026-04-13,Набор кухонный,29,23,1599,20.81,83.6,0.78,0.74,3672,41
2026-04-13,Самокат складной,19,16,3999,29.85,87.6,0.56,0.61,2262,45
2026-04-14,Игрушка мягкая мишка,81,67,789,16.15,68.4,0.74,0.87,7943,122
2026-04-14,Конструктор LEGO City,49,43,2499,21.51,86.0,1.22,0.93,4461,84
2026-04-14,Пазл 1000 деталей,28,26,599,11.2,59.1,0.82,0.72,4085,62
2026-04-14,Машинка инерционная,93,77,349,7.98,45.7,1.39,1.02,9862,105
2026-04-14,Кукла с аксессуарами,45,41,1299,19.78,76.1,0.99,0.8,7178,128
2026-04-14,Набор для творчества,41,36,899,14.65,66.8,0.93,0.89,5367,78
2026-04-14,Мяч футбольный,60,50,499,10.35,56.8,1.09,0.83,6168,99
2026-04-14,Книга детская,29,26,299,5.8,38.8,0.77,0.66,2581,41
2026-04-14,Набор кухонный,40,36,1599,18.61,83.8,0.97,0.73,4159,73
2026-04-14,Самокат складной,18,14,3999,28.2,93.5,0.61,0.51,2913,35
2026-04-15,Игрушка мягкая мишка,67,62,789,15.91,73.4,0.87,0.85,7561,99
2026-04-15,Конструктор LEGO City,37,33,2499,22.77,81.4,1.14,0.93,5944,88
2026-04-15,Пазл 1000 деталей,30,26,599,11.31,59.3,0.85,0.79,4107,74
2026-04-15,Машинка инерционная,84,68,349,8.15,43.6,1.42,1.16,10503,123
2026-04-15,Кукла с аксессуарами,54,45,1299,16.91,73.5,0.9,0.85,6764,80
2026-04-15,Набор для творчества,45,37,899,12.8,65.2,0.82,0.79,5013,90
2026-04-15,Мяч футбольный,58,49,499,9.46,57.0,1.16,0.79,5901,108
2026-04-15,Книга детская,24,20,299,5.5,38.2,0.72,0.56,2991,42
2026-04-15,Набор кухонный,33,27,1599,21.97,76.4,0.81,0.82,3714,42
2026-04-15,Самокат складной,16,14,3999,26.26,94.3,0.67,0.58,2275,44
2026-04-16,Игрушка мягкая мишка,69,55,789,15.88,70.1,0.87,0.73,9730,101
2026-04-16,Конструктор LEGO City,48,42,2499,21.28,81.8,1.19,0.88,4882,67
2026-04-16,Пазл 1000 деталей,33,29,599,10.9,61.3,1.03,0.76,3689,54
2026-04-16,Машинка инерционная,82,65,349,8.47,45.6,1.53,0.98,12539,203
2026-04-16,Кукла с аксессуарами,64,54,1299,19.55,77.1,1.05,0.75,5843,105
2026-04-16,Набор для творчества,46,43,899,14.87,62.0,0.88,0.81,3670,39
2026-04-16,Мяч футбольный,63,55,499,9.32,56.0,1.15,0.92,8215,164
2026-04-16,Книга детская,24,21,299,5.87,40.7,0.78,0.58,3546,53
2026-04-16,Набор кухонный,38,34,1599,19.42,78.5,0.82,0.65,4523,68
2026-04-16,Самокат складной,16,14,3999,28.75,93.9,0.57,0.49,2659,33
2026-04-17,Игрушка мягкая мишка,67,59,789,16.3,72.8,0.74,0.76,8996,126
2026-04-17,Конструктор LEGO City,42,38,2499,22.5,82.3,1.04,0.97,5514,97
2026-04-17,Пазл 1000 деталей,31,25,599,10.84,60.6,1.01,0.72,3149,34
2026-04-17,Машинка инерционная,75,64,349,7.79,44.9,1.28,1.03,9638,158
2026-04-17,Кукла с аксессуарами,65,60,1299,17.93,77.1,1.07,0.94,5504,61
2026-04-17,Набор для творчества,39,32,899,14.45,63.2,0.95,0.82,4158,45
2026-04-17,Мяч футбольный,64,59,499,10.74,52.3,0.98,0.85,7725,128
2026-04-17,Книга детская,21,18,299,5.7,41.8,0.6,0.65,2448,43
2026-04-17,Набор кухонный,28,23,1599,20.05,76.5,0.96,0.72,3531,48
2026-04-17,Самокат складной,22,19,3999,27.49,87.5,0.6,0.51,2708,30
2026-04-18,Игрушка мягкая мишка,59,54,789,15.85,73.1,0.72,0.73,8643,157
2026-04-18,Конструктор LEGO City,36,33,2499,23.14,86.4,1.05,0.8,4906,55
2026-04-18,Пазл 1000 деталей,34,29,599,11.63,60.8,0.83,0.78,3240,57
2026-04-18,Машинка инерционная,84,70,349,8.1,45.6,1.56,1.0,10445,132
2026-04-18,Кукла с аксессуарами,45,37,1299,16.99,72.6,0.97,0.85,7069,100
2026-04-18,Набор для творчества,47,38,899,14.47,66.9,1.06,0.74,3732,41
2026-04-18,Мяч футбольный,52,46,499,10.05,52.6,1.07,0.92,6937,113
2026-04-18,Книга детская,29,26,299,5.65,39.2,0.79,0.66,3073,45
2026-04-18,Набор кухонный,39,35,1599,18.33,78.0,0.9,0.7,3876,43
2026-04-18,Самокат складной,17,15,3999,26.83,85.8,0.72,0.56,2235,40
2026-04-19,Игрушка мягкая мишка,61,56,789,16.57,73.3,0.88,0.71,10737,153
2026-04-19,Конструктор LEGO City,44,37,2499,20.24,87.1,1.22,0.83,4552,74
2026-04-19,Пазл 1000 деталей,25,23,599,12.66,61.2,0.77,0.61,2823,47
2026-04-19,Машинка инерционная,80,71,349,8.6,45.1,1.68,1.23,11190,222
2026-04-19,Кукла с аксессуарами,44,37,1299,17.04,74.0,1.05,0.78,5284,94
2026-04-19,Набор для творчества,39,35,899,12.85,66.8,0.99,0.85,4645,70
2026-04-19,Мяч футбольный,50,41,499,9.02,52.9,0.97,0.78,5666,83
2026-04-19,Книга детская,24,20,299,5.98,41.2,0.72,0.6,2629,49
2026-04-19,Набор кухонный,40,37,1599,20.84,83.5,0.76,0.72,3769,74
2026-04-19,Самокат складной,18,14,3999,29.36,92.8,0.67,0.54,2633,42
2026-04-20,Игрушка мягкая мишка,56,46,789,17.02,69.9,0.81,0.74,9311,176
2026-04-20,Конструктор LEGO City,52,49,2499,23.95,87.7,1.04,0.85,5021,80
2026-04-20,Пазл 1000 деталей,33,30,599,11.96,57.7,0.95,0.65,3298,42
2026-04-20,Машинка инерционная,95,79,349,8.77,44.7,1.38,1.05,10075,122
2026-04-20,Кукла с аксессуарами,65,54,1299,16.59,73.9,0.94,0.77,6284,114
2026-04-20,Набор для творчества,42,38,899,14.06,62.8,0.94,0.89,4219,57
2026-04-20,Мяч футбольный,58,51,499,10.31,57.5,1.14,0.92,7972,151
2026-04-20,Книга детская,27,23,299,5.92,41.2,0.63,0.63,2536,40
2026-04-20,Набор кухонный,31,26,1599,19.83,82.2,0.77,0.76,3968,71
2026-04-20,Самокат складной,22,17,3999,30.7,85.7,0.71,0.6,2947,33
2026-04-21,Игрушка мягкая мишка,61,57,789,15.12,68.5,0.8,0.68,9679,123
2026-04-21,Конструктор LEGO City,50,44,2499,23.7,87.4,1.07,1.0,5544,101
2026-04-21,Пазл 1000 деталей,26,21,599,12.63,63.0,0.85,0.78,4136,72
2026-04-21,Машинка инерционная,98,88,349,8.0,46.0,1.46,1.22,11779,174
2026-04-21,Кукла с аксессуарами,47,40,1299,19.61,77.9,1.07,0.72,4959,58
2026-04-21,Набор для творчества,43,40,899,12.87,65.0,0.83,0.88,4241,70
2026-04-21,Мяч футбольный,48,39,499,9.98,53.7,1.16,0.94,6260,64
2026-04-21,Книга детская,20,16,299,6.31,40.5,0.79,0.58,2566,30
2026-04-21,Набор кухонный,31,25,1599,19.17,83.7,0.95,0.67,3884,43
2026-04-21,Самокат складной,23,19,3999,25.53,86.3,0.58,0.54,2443,37
2026-04-22,Игрушка мягкая мишка,65,59,789,14.93,68.6,0.81,0.85,8251,94
2026-04-22,Конструктор LEGO City,52,48,2499,22.2,85.4,1.05,0.85,4310,55
2026-04-22,Пазл 1000 деталей,32,26,599,12.71,59.8,1.0,0.73,2801,29
2026-04-22,Машинка инерционная,69,62,349,7.24,45.3,1.7,1.16,11729,175
2026-04-22,Кукла с аксессуарами,65,56,1299,18.71,76.6,1.04,0.89,5172,76
2026-04-22,Набор для творчества,33,29,899,14.86,68.2,0.96,0.89,5394,98
2026-04-22,Мяч футбольный,49,46,499,9.29,55.4,1.15,0.81,6159,74
2026-04-22,Книга детская,24,22,299,6.34,38.5,0.62,0.66,2437,43
2026-04-22,Набор кухонный,32,26,1599,21.73,81.9,0.95,0.78,3818,72
2026-04-22,Самокат складной,19,17,3999,27.78,89.3,0.61,0.62,2662,29
2026-04-23,Игрушка мягкая мишка,73,67,789,16.6,70.5,0.87,0.83,8997,154
2026-04-23,Конструктор LEGO City,52,47,2499,20.28,87.2,1.23,0.99,5262,82
2026-04-23,Пазл 1000 деталей,24,20,599,12.16,63.0,0.86,0.78,3326,64
2026-04-23,Машинка инерционная,87,81,349,7.27,45.3,1.6,1.1,14144,216
2026-04-23,Кукла с аксессуарами,55,48,1299,17.91,71.7,1.02,0.75,5832,91
2026-04-23,Набор для творчества,46,38,899,15.33,65.2,1.0,0.76,5393,73
2026-04-23,Мяч футбольный,70,61,499,10.5,54.1,1.11,1.02,8309,132
2026-04-23,Книга детская,29,26,299,5.63,38.7,0.64,0.54,3546,70
2026-04-23,Набор кухонный,33,28,1599,21.77,77.5,0.92,0.64,4647,51
2026-04-23,Самокат складной,19,17,3999,26.63,92.7,0.73,0.57,2890,29
2026-04-24,Игрушка мягкая мишка,79,72,789,15.26,71.0,0.78,0.68,7448,137
2026-04-24,Конструктор LEGO City,50,43,2499,22.54,81.4,1.02,0.92,5527,63
2026-04-24,Пазл 1000 деталей,31,26,599,12.56,62.0,0.77,0.6,3960,63
2026-04-24,Машинка инерционная,101,94,349,7.55,43.4,1.67,1.24,12660,189
2026-04-24,Кукла с аксессуарами,47,41,1299,17.02,78.6,1.04,0.86,4953,51
2026-04-24,Набор для творчества,36,32,899,14.89,66.2,1.0,0.85,5250,81
2026-04-24,Мяч футбольный,64,52,499,10.46,54.1,1.03,0.79,7579,96
2026-04-24,Книга детская,21,17,299,5.43,40.7,0.71,0.68,2576,30
2026-04-24,Набор кухонный,40,32,1599,19.07,78.6,0.93,0.75,4784,81
2026-04-24,Самокат складной,18,14,3999,28.41,86.6,0.64,0.55,2433,36
2026-04-25,Игрушка мягкая мишка,66,53,789,15.44,67.8,0.72,0.8,7521,98
2026-04-25,Конструктор LEGO City,44,39,2499,23.24,88.8,1.3,0.82,4014,80
2026-04-25,Пазл 1000 деталей,29,26,599,12.57,59.2,1.0,0.75,3039,32
2026-04-25,Машинка инерционная,70,58,349,8.74,45.2,1.41,1.0,11595,210
2026-04-25,Кукла с аксессуарами,54,47,1299,17.03,76.0,1.05,0.87,6040,88
2026-04-25,Набор для творчества,38,35,899,15.36,66.2,0.85,0.77,3858,62
2026-04-25,Мяч футбольный,50,42,499,10.05,53.0,0.99,0.92,7032,86
2026-04-25,Книга детская,27,21,299,5.4,38.9,0.76,0.62,2616,42
2026-04-25,Набор кухонный,35,28,1599,19.28,81.5,0.74,0.82,4613,69
2026-04-25,Самокат складной,19,17,3999,28.45,88.3,0.59,0.62,2961,47
2026-04-26,Игрушка мягкая мишка,63,54,789,17.58,71.1,0.77,0.76,9016,112
2026-04-26,Конструктор LEGO City,53,44,2499,23.62,82.2,1.38,0.8,5962,100
2026-04-26,Пазл 1000 деталей,29,23,599,12.49,57.8,0.85,0.8,4023,62
2026-04-26,Машинка инерционная,83,69,349,7.2,45.4,1.59,1.09,12348,148
2026-04-26,Кукла с аксессуарами,46,36,1299,17.85,73.8,0.92,0.9,5824,60
2026-04-26,Набор для творчества,37,31,899,13.09,67.0,0.89,0.7,4507,67
2026-04-26,Мяч футбольный,61,51,499,9.26,53.1,1.04,0.99,7807,108
2026-04-26,Книга детская,21,19,299,6.53,38.1,0.77,0.61,2794,54
2026-04-26,Набор кухонный,28,23,1599,18.92,80.1,0.92,0.79,3262,36
2026-04-26,Самокат складной,21,19,3999,29.06,86.3,0.58,0.57,2771,46
2026-04-27,Игрушка мягкая мишка,66,61,789,14.58,71.4,0.83,0.81,8783,91
2026-04-27,Конструктор LEGO City,42,36,2499,22.8,83.6,1.09,0.83,4706,49
2026-04-27,Пазл 1000 деталей,27,24,599,11.69,58.3,0.78,0.69,3687,43
2026-04-27,Машинка инерционная,91,73,349,7.56,45.2,1.51,1.13,14006,261
2026-04-27,Кукла с аксессуарами,63,55,1299,16.59,74.6,0.94,0.89,4810,94
2026-04-27,Набор для творчества,33,28,899,12.93,67.2,1.01,0.8,4165,67
2026-04-27,Мяч футбольный,56,45,499,9.08,52.6,1.01,1.03,8052,128
2026-04-27,Книга детская,28,22,299,6.41,40.6,0.64,0.61,2953,46
2026-04-27,Набор кухонный,41,34,1599,19.66,82.5,0.83,0.65,3977,56
2026-04-27,Самокат складной,23,20,3999,30.8,89.8,0.67,0.49,2574,36
2026-04-28,Игрушка мягкая мишка,58,50,789,14.41,73.2,0.83,0.84,8121,110
2026-04-28,Конструктор LEGO City,37,31,2499,23.63,84.9,1.15,0.8,4404,69
2026-04-28,Пазл 1000 деталей,28,25,599,13.01,61.1,0.87,0.71,2921,30
2026-04-28,Машинка инерционная,76,67,349,8.47,43.0,1.6,1.21,11018,207
2026-04-28,Кукла с аксессуарами,59,47,1299,16.53,74.7,1.12,0.82,7079,119
2026-04-28,Набор для творчества,46,39,899,14.41,65.3,1.03,0.86,3708,52
2026-04-28,Мяч футбольный,50,47,499,9.6,53.2,0.94,0.78,6986,73
2026-04-28,Книга детская,23,20,299,6.21,38.3,0.75,0.67,2828,42
2026-04-28,Набор кухонный,31,29,1599,19.29,77.3,0.76,0.86,4474,72
2026-04-28,Самокат складной,17,14,3999,27.79,87.8,0.74,0.48,2833,43
2026-04-29,Игрушка мягкая мишка,82,72,789,15.16,72.9,0.9,0.83,7979,120
2026-04-29,Конструктор LEGO City,43,40,2499,23.22,83.3,1.31,0.79,5228,58
2026-04-29,Пазл 1000 деталей,34,30,599,12.78,57.8,0.96,0.71,4089,44
2026-04-29,Машинка инерционная,87,72,349,7.35,43.3,1.54,1.22,12016,215
2026-04-29,Кукла с аксессуарами,55,46,1299,18.85,74.3,0.86,0.96,7098,125
2026-04-29,Набор для творчества,38,32,899,12.95,64.0,0.82,0.75,4212,42
2026-04-29,Мяч футбольный,62,56,499,10.93,55.3,1.24,1.0,6249,75
2026-04-29,Книга детская,24,19,299,6.16,39.7,0.66,0.51,2695,51
2026-04-29,Набор кухонный,32,25,1599,21.1,78.7,0.74,0.7,4321,54
2026-04-29,Самокат складной,16,14,3999,25.97,87.4,0.65,0.5,2515,34
2026-04-30,Игрушка мягкая мишка,81,69,789,14.93,72.0,0.92,0.88,7650,104
2026-04-30,Конструктор LEGO City,38,35,2499,19.95,83.2,1.31,1.0,4932,93
2026-04-30,Пазл 1000 деталей,30,28,599,12.95,61.6,0.99,0.62,3656,55
2026-04-30,Машинка инерционная,82,71,349,7.32,43.3,1.45,0.94,12360,241
2026-04-30,Кукла с аксессуарами,44,38,1299,17.72,75.4,0.9,0.91,4984,75
2026-04-30,Набор для творчества,43,37,899,13.07,67.0,1.05,0.82,3841,57
2026-04-30,Мяч футбольный,57,45,499,10.42,52.3,0.94,0.94,5690,109
2026-04-30,Книга детская,22,19,299,6.29,40.3,0.72,0.69,2889,48
2026-04-30,Набор кухонный,33,29,1599,19.28,82.0,0.85,0.69,4736,88
2026-04-30,Самокат складной,20,17,3999,26.51,91.4,0.74,0.48,2735,47
2026-05-01,Игрушка мягкая мишка,66,55,789,14.48,70.6,0.71,0.75,10298,135
2026-05-01,Конструктор LEGO City,50,44,2499,20.84,89.2,1.09,0.91,4881,54
2026-05-01,Пазл 1000 деталей,27,23,599,10.89,59.5,0.79,0.76,3049,31
2026-05-01,Машинка инерционная,96,77,349,8.49,43.4,1.48,1.26,12872,161
2026-05-01,Кукла с аксессуарами,44,35,1299,18.77,74.7,0.86,0.85,6069,105
2026-05-01,Набор для творчества,36,33,899,14.27,64.8,0.91,0.76,4521,66
2026-05-01,Мяч футбольный,61,51,499,10.37,52.9,1.12,0.89,7042,115
2026-05-01,Книга детская,21,17,299,6.02,38.0,0.67,0.59,2558,35
2026-05-01,Набор кухонный,31,26,1599,20.01,81.7,0.81,0.74,3230,50
2026-05-01,Самокат складной,20,17,3999,27.05,94.0,0.57,0.53,2786,51
2026-05-02,Игрушка мягкая мишка,69,60,789,16.21,73.2,0.83,0.7,7639,112
2026-05-02,Конструктор LEGO City,41,36,2499,21.19,87.7,1.26,0.83,4560,48
2026-05-02,Пазл 1000 деталей,26,21,599,12.21,59.5,0.93,0.69,3798,56
2026-05-02,Машинка инерционная,97,86,349,7.69,43.8,1.43,1.17,12988,140
2026-05-02,Кукла с аксессуарами,63,50,1299,18.01,75.0,1.03,0.78,6384,101
2026-05-02,Набор для творчества,34,31,899,13.75,65.6,1.04,0.7,4362,69
2026-05-02,Мяч футбольный,62,52,499,9.89,56.6,1.18,0.93,6081,69
